"#data_provider","#sys_sample_code","sample_name","sample_matrix_code","sample_type_code","sample_source","parent_sample_code","sample_delivery_group","sample_date","sys_loc_code","start_depth","end_depth","depth_unit","chain_of_custody","sent_to_lab_date","sample_receipt_date","sampler","sampling_company_code","sampling_reason","sampling_technique","task_code","collection_quarter","composite_yn","composite_desc","sample_class","custom_field_1","custom_field_2","custom_field_3","comment"
"ALSRNY","2009MUS0S11","2009MUS0S11","WS","N","Field","","R2004299","05/20/2020 12:45:00","2009MUS0S11","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
"ALSRNY","2009MUS0S12","2009MUS0S12","WS","N","Field","","R2004299","05/20/2020 12:55:00","2009MUS0S12","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
"ALSRNY","2009 HIC0S11","2009 HIC0S11","WS","N","Field","","R2004299","05/20/2020 10:00:00","2009 HIC0S11","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
"ALSRNY","2009MUD03S12","2009MUD03S12","WS","N","Field","","R2004299","05/20/2020 07:40:00","2009MUD03S12","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
"ALSRNY","2009MUD03S11","2009MUD03S11","WS","N","Field","","R2004299","05/20/2020 07:35:00","2009MUD03S11","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
"ALSRNY","2009RED0S11","2009RED0S11","WS","N","Field","","R2004299","05/20/2020 08:30:00","2009RED0S11","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
"ALSRNY","2009RED0S12","2009RED0S12","WS","N","Field","","R2004299","05/20/2020 08:30:00","2009RED0S12","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
"ALSRNY","2009MUD05S11","2009MUD05S11","WS","N","Field","","R2004299","05/20/2020 11:30:00","2009MUD05S11","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
"ALSRNY","2009MUD05S12","2009MUD05S12","WS","N","Field","","R2004299","05/20/2020 11:30:00","2009MUD05S12","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
"ALSRNY","2009HIC0E11","2009HIC0E11","WS","N","Field","","R2004299","05/20/2020 10:30:00","2009HIC0E11","","","","","","05/21/2020","","NYSDEC","","","SC","","n","","","","","",""
