"#sys_sample_code","lab_anl_method_name","analysis_date","fraction","column_number","test_type","lab_matrix_code","analysis_location","basis","container_id","dilution_factor","prep_method","prep_date","leachate_method","leachate_date","lab_name_code","qc_level","lab_sample_id","percent_moisture","subsample_amount","subsample_amount_unit","analyst_name","instrument_id","comment","preservative","final_volume","final_volume_unit","cas_rn","chemical_name","Result_value","Result_error_delta","result_type_code","reportable_result","detect_flag","Lab_qualifiers","validator_qualifiers","interpreted_qualifiers","validated_yn","method_detection_limit","reporting_detection_limit","quantitation_limit","Result_unit","detection_limit_unit","tic_retention_time","minimum_detectable_conc","counting_error","uncertainty","critical_value","validation_level","result_comment","qc_original_conc","qc_spike_added","qc_spike_measured","qc_spike_recovery","qc_dup_original_conc","qc_dup_spike_added","qc_dup_spike_measured","qc_dup_spike_recovery","qc_rpd","qc_spike_lcl","qc_spike_ucl","qc_rpd_cl","qc_spike_status","qc_dup_spike_status","qc_rpd_status","lab_sdg"
"2009MUS0S11","SM 2320 B","05/28/2020 04:59:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-001","","0","mL","","","","","","","ALK","ALKALINITY, TOTAL (AS CaCO3)","52.0","","TRG","Yes","Y","","","","","1.8","","2.0","mg/l","mg/l","","1.8","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","E350.1","05/22/2020 19:07:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-001","","10","mL","","","","","10","mL","7664-41-7","Nitrogen, ammonia (As N)","0.010","","TRG","Yes","Y","","","","","0.003","","0.010","mg/l","mg/l","","0.003","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","SM5310C","05/26/2020 18:19:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-001","","42","mL","","","","","42","mL","TOC","TOTAL ORGANIC CARBON","5.3","","TRG","Yes","Y","","","","","0.5","","1.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","E300.0","05/22/2020 23:30:00","T","NA","initial","WS","LB","NA","","10","","","","","ALSRNY","quant","R2004299-001","","10","mL","","","","","10","mL","16887-00-6","CHLORIDE (AS CL)","8.4","","TRG","Yes","Y","","","","","0.5","","2.0","mg/l","mg/l","","0.5","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","SM10200H","05/29/2020 12:00:00","T","NA","initial","WS","LB","NA","","2","","","","","ALSRNY","quant","R2004299-001","","1000","mL","","","","","","","479-61-8","Chlorophyll A","3.39","","TRG","Yes","Y","","","","","","","0.080","ug/l","ug/l","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","SM2120B","05/21/2020 16:00:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-001","","0","mL","","","","","","","COLOR","Color, True","19.0","","TRG","Yes","Y","","","","","","","5.0","color unit","color unit","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","SM2340B","05/28/2020 22:29:00","T","NA","initial","WS","LB","NA","","1","","05/27/2020 00:00:00","","","ALSRNY","quant","R2004299-001","","0","mL","","","","","","","HARD","HARDNESS (AS CACO3)","56.8","","TRG","Yes","Y","","","","","","","6.62","mg/l","mg/l","","","","","","","","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","Calculation","05/21/2020 20:15:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-001","","0","mL","","","","","","","14797-55-8","NITROGEN, NITRATE (AS N)","","","TRG","Yes","N","U","","U","","","0.05","0.05","mg/l","mg/l","","","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","E353.2","05/26/2020 22:18:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-001","","10","mL","","","","","10","mL","NO3NO2N","Nitrate+Nitrite as Nitrogen","","","TRG","Yes","N","U","","U","","0.0015","0.0015","0.0020","mg/l","mg/l","","0.0015","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
"2009MUS0S11","E353.2","05/21/2020 20:15:00","T","NA","initial","WS","LB","NA","","1","","","","","ALSRNY","quant","R2004299-001","","10","mL","","","","","10","mL","14797-65-0","NITROGEN, NITRITE","","","TRG","Yes","N","U","","U","","0.007","0.007","0.010","mg/l","mg/l","","0.007","","","","","not detected","","","","","","","","","","","","","","","","R2004299"
